Time,CH A,
4.8024E-5,-1.586E-2,
4.82741E-5,1.0414E-1,
4.85243E-5,-1.586E-2,
4.87744E-5,1.0414E-1,
4.90245E-5,-1.586E-2,
4.92746E-5,1.0414E-1,
4.95248E-5,-1.586E-2,
4.97749E-5,1.0414E-1,
5.0025E-5,-1.586E-2,
5.02751E-5,1.0414E-1,
5.05253E-5,-1.586E-2,
5.07754E-5,1.0414E-1,
5.10255E-5,-1.586E-2,
5.12756E-5,1.0414E-1,
5.15258E-5,-1.586E-2,
5.17759E-5,1.0414E-1,
5.2026E-5,-1.586E-2,
5.22761E-5,1.0414E-1,
5.25263E-5,-5.586E-2,
5.27764E-5,1.0414E-1,
5.30265E-5,-1.586E-2,
5.32766E-5,6.414E-2,
5.35268E-5,-5.586E-2,
5.37769E-5,1.0414E-1,
5.4027E-5,-5.586E-2,
5.42771E-5,6.414E-2,
5.45273E-5,-5.586E-2,
5.47774E-5,6.414E-2,
5.50275E-5,-5.586E-2,
5.52776E-5,6.414E-2,
5.55278E-5,-5.586E-2,
5.57779E-5,6.414E-2,
5.6028E-5,-5.586E-2,
5.62781E-5,6.414E-2,
5.65283E-5,-5.586E-2,
5.67784E-5,6.414E-2,
5.70285E-5,-5.586E-2,
5.72786E-5,6.414E-2,
5.75288E-5,-5.586E-2,
5.77789E-5,6.414E-2,
5.8029E-5,-5.586E-2,
5.82791E-5,6.414E-2,
5.85293E-5,-5.586E-2,
5.87794E-5,6.414E-2,
5.90295E-5,-5.586E-2,
5.92796E-5,6.414E-2,
5.95298E-5,-5.586E-2,
5.97799E-5,6.414E-2,
6.003E-5,-5.586E-2,
6.02801E-5,6.414E-2,
6.05303E-5,-5.586E-2,
6.07804E-5,6.414E-2,
6.10305E-5,-9.586E-2,
6.12806E-5,6.414E-2,
6.15308E-5,-5.586E-2,
6.17809E-5,6.414E-2,
6.2031E-5,-5.586E-2,
6.22811E-5,6.414E-2,
6.25313E-5,-5.586E-2,
6.27814E-5,6.414E-2,
6.30315E-5,-5.586E-2,
6.32816E-5,6.414E-2,
6.35318E-5,-5.586E-2,
6.37819E-5,6.414E-2,
6.4032E-5,-5.586E-2,
6.42821E-5,6.414E-2,
