Time,CH A,
1.84092E-4,-1.1173E-2,
1.85093E-4,1.2827E-2,
1.86093E-4,-1.1173E-2,
1.87094E-4,1.2827E-2,
1.88094E-4,-1.1173E-2,
1.89095E-4,1.2827E-2,
1.90095E-4,-1.1173E-2,
1.91096E-4,1.2827E-2,
1.92096E-4,-1.1173E-2,
1.93097E-4,1.2827E-2,
1.94097E-4,-1.1173E-2,
1.95098E-4,1.2827E-2,
1.96098E-4,-3.173E-3,
1.97099E-4,2.0827E-2,
1.98099E-4,-3.173E-3,
1.991E-4,1.2827E-2,
2.001E-4,-3.173E-3,
2.01101E-4,2.0827E-2,
2.02101E-4,-1.1173E-2,
2.03102E-4,1.2827E-2,
2.04102E-4,-1.1173E-2,
2.05103E-4,1.2827E-2,
2.06103E-4,-1.1173E-2,
2.07104E-4,1.2827E-2,
2.08104E-4,-1.9173E-2,
2.09105E-4,4.827E-3,
2.10105E-4,-1.1173E-2,
2.11106E-4,1.2827E-2,
2.12106E-4,-1.1173E-2,
2.13107E-4,1.2827E-2,
2.14107E-4,-1.1173E-2,
2.15108E-4,1.2827E-2,
2.16108E-4,-3.173E-3,
2.17109E-4,1.2827E-2,
2.18109E-4,-1.1173E-2,
2.1911E-4,1.2827E-2,
2.2011E-4,-1.1173E-2,
2.21111E-4,1.2827E-2,
2.22111E-4,-1.1173E-2,
2.23112E-4,1.2827E-2,
2.24112E-4,-1.9173E-2,
2.25113E-4,1.2827E-2,
2.26113E-4,-1.9173E-2,
2.27114E-4,4.827E-3,
2.28114E-4,-1.1173E-2,
2.29115E-4,4.827E-3,
2.30115E-4,-1.1173E-2,
2.31116E-4,1.2827E-2,
2.32116E-4,-1.1173E-2,
2.33117E-4,1.2827E-2,
2.34117E-4,-1.1173E-2,
2.35118E-4,1.2827E-2,
2.36118E-4,-3.173E-3,
2.37119E-4,1.2827E-2,
2.38119E-4,-1.1173E-2,
2.3912E-4,2.0827E-2,
2.4012E-4,-3.173E-3,
2.41121E-4,1.2827E-2,
2.42121E-4,-3.173E-3,
2.43122E-4,1.2827E-2,
2.44122E-4,-3.173E-3,
2.45123E-4,1.2827E-2,
2.46123E-4,-1.1173E-2,
2.47124E-4,1.2827E-2,
2.48124E-4,-3.173E-3,
2.49125E-4,2.0827E-2,
2.50125E-4,-3.173E-3,
2.51126E-4,2.0827E-2,
2.52126E-4,-3.173E-3,
2.53127E-4,2.0827E-2,
2.54127E-4,4.827E-3,
2.55128E-4,2.0827E-2,
2.56128E-4,4.827E-3,
2.57129E-4,2.8827E-2,
2.58129E-4,1.2827E-2,
2.5913E-4,3.6827E-2,
2.6013E-4,1.2827E-2,
2.61131E-4,3.6827E-2,
2.62131E-4,4.827E-3,
2.63132E-4,3.6827E-2,
2.64132E-4,4.827E-3,
2.65133E-4,2.8827E-2,
2.66133E-4,-3.173E-3,
2.67134E-4,2.0827E-2,
2.68134E-4,4.827E-3,
2.69135E-4,2.0827E-2,
2.70135E-4,4.827E-3,
2.71136E-4,2.0827E-2,
2.72136E-4,4.827E-3,
2.73137E-4,2.8827E-2,
2.74137E-4,4.827E-3,
2.75138E-4,2.0827E-2,
2.76138E-4,-3.173E-3,
2.77139E-4,2.8827E-2,
2.78139E-4,4.827E-3,
2.7914E-4,2.0827E-2,
2.8014E-4,-3.173E-3,
2.81141E-4,2.0827E-2,
2.82141E-4,-3.173E-3,
2.83142E-4,2.0827E-2,
2.84142E-4,-3.173E-3,
2.85143E-4,1.2827E-2,
2.86143E-4,-3.173E-3,
2.87144E-4,1.2827E-2,
2.88144E-4,-1.1173E-2,
2.89145E-4,1.2827E-2,
2.90145E-4,-1.1173E-2,
2.91146E-4,1.2827E-2,
2.92146E-4,-1.1173E-2,
2.93147E-4,1.2827E-2,
2.94147E-4,-1.1173E-2,
2.95148E-4,1.2827E-2,
2.96148E-4,-1.1173E-2,
2.97149E-4,1.2827E-2,
2.98149E-4,-3.173E-3,
2.9915E-4,2.0827E-2,
3.0015E-4,-3.173E-3,
3.01151E-4,1.2827E-2,
3.02151E-4,-1.1173E-2,
3.03152E-4,1.2827E-2,
3.04152E-4,-1.1173E-2,
3.05153E-4,1.2827E-2,
3.06153E-4,-1.1173E-2,
3.07154E-4,4.827E-3,
3.08154E-4,-1.9173E-2,
3.09155E-4,4.827E-3,
3.10155E-4,-1.1173E-2,
3.11156E-4,4.827E-3,
