Time,CH A,
1.87094E-5,4.827E-2,
1.88094E-5,-1.1173E-1,
1.89095E-5,4.827E-2,
1.90095E-5,-1.1173E-1,
1.91096E-5,1.2827E-1,
1.92096E-5,-1.1173E-1,
1.93097E-5,4.827E-2,
1.94097E-5,-1.9173E-1,
1.95098E-5,4.827E-2,
1.96098E-5,-1.9173E-1,
1.97099E-5,4.827E-2,
1.98099E-5,-1.9173E-1,
1.991E-5,4.827E-2,
2.001E-5,-1.9173E-1,
2.01101E-5,4.827E-2,
2.02101E-5,-1.9173E-1,
2.03102E-5,4.827E-2,
2.04102E-5,-1.1173E-1,
2.05103E-5,4.827E-2,
2.06103E-5,-1.1173E-1,
2.07104E-5,4.827E-2,
2.08104E-5,-1.1173E-1,
2.09105E-5,4.827E-2,
2.10105E-5,-1.1173E-1,
2.11106E-5,4.827E-2,
2.12106E-5,-1.1173E-1,
2.13107E-5,4.827E-2,
2.14107E-5,-1.1173E-1,
2.15108E-5,4.827E-2,
2.16108E-5,-1.1173E-1,
2.17109E-5,1.2827E-1,
2.18109E-5,-1.9173E-1,
2.1911E-5,4.827E-2,
2.2011E-5,-1.1173E-1,
2.21111E-5,4.827E-2,
2.22111E-5,-1.9173E-1,
2.23112E-5,4.827E-2,
2.24112E-5,-1.1173E-1,
2.25113E-5,1.2827E-1,
2.26113E-5,-1.1173E-1,
2.27114E-5,4.827E-2,
2.28114E-5,-1.1173E-1,
2.29115E-5,4.827E-2,
2.30115E-5,-1.1173E-1,
2.31116E-5,4.827E-2,
2.32116E-5,-1.1173E-1,
2.33117E-5,1.2827E-1,
2.34117E-5,-1.1173E-1,
2.35118E-5,4.827E-2,
2.36118E-5,-1.1173E-1,
2.37119E-5,4.827E-2,
2.38119E-5,-1.1173E-1,
2.3912E-5,4.827E-2,
2.4012E-5,-1.1173E-1,
2.41121E-5,1.2827E-1,
2.42121E-5,-1.1173E-1,
2.43122E-5,4.827E-2,
2.44122E-5,-1.1173E-1,
2.45123E-5,1.2827E-1,
2.46123E-5,-1.1173E-1,
2.47124E-5,4.827E-2,
2.48124E-5,-1.1173E-1,
2.49125E-5,1.2827E-1,
2.50125E-5,-1.9173E-1,
2.51126E-5,4.827E-2,
2.52126E-5,-1.1173E-1,
2.53127E-5,4.827E-2,
2.54127E-5,-1.1173E-1,
2.55128E-5,4.827E-2,
2.56128E-5,-1.1173E-1,
2.57129E-5,1.2827E-1,
2.58129E-5,-1.9173E-1,
2.5913E-5,4.827E-2,
2.6013E-5,-1.1173E-1,
2.61131E-5,1.2827E-1,
2.62131E-5,-1.1173E-1,
2.63132E-5,4.827E-2,
2.64132E-5,-1.1173E-1,
2.65133E-5,4.827E-2,
2.66133E-5,-1.1173E-1,
2.67134E-5,1.2827E-1,
2.68134E-5,-1.1173E-1,
2.69135E-5,4.827E-2,
2.70135E-5,-1.1173E-1,
2.71136E-5,4.827E-2,
2.72136E-5,-1.1173E-1,
2.73137E-5,1.2827E-1,
2.74137E-5,-1.1173E-1,
2.75138E-5,4.827E-2,
2.76138E-5,-1.1173E-1,
2.77139E-5,4.827E-2,
2.78139E-5,-1.1173E-1,
2.7914E-5,4.827E-2,
2.8014E-5,-1.1173E-1,
2.81141E-5,4.827E-2,
2.82141E-5,-1.9173E-1,
2.83142E-5,4.827E-2,
2.84142E-5,-1.9173E-1,
2.85143E-5,4.827E-2,
2.86143E-5,-1.1173E-1,
2.87144E-5,1.2827E-1,
2.88144E-5,-1.1173E-1,
2.89145E-5,4.827E-2,
2.90145E-5,-1.1173E-1,
2.91146E-5,4.827E-2,
2.92146E-5,-1.9173E-1,
2.93147E-5,1.2827E-1,
2.94147E-5,-1.1173E-1,
2.95148E-5,4.827E-2,
2.96148E-5,-1.1173E-1,
2.97149E-5,4.827E-2,
2.98149E-5,-1.1173E-1,
2.9915E-5,1.2827E-1,
3.0015E-5,-1.1173E-1,
3.01151E-5,4.827E-2,
3.02151E-5,-1.1173E-1,
3.03152E-5,1.2827E-1,
3.04152E-5,-1.1173E-1,
3.05153E-5,1.2827E-1,
3.06153E-5,-1.1173E-1,
3.07154E-5,1.2827E-1,
3.08154E-5,-1.1173E-1,
3.09155E-5,4.827E-2,
3.10155E-5,-1.1173E-1,
3.11156E-5,1.2827E-1,
3.12156E-5,-1.1173E-1,
3.13157E-5,4.827E-2,
3.14157E-5,-1.9173E-1,
3.15158E-5,1.2827E-1,
3.16158E-5,-1.1173E-1,
3.17159E-5,4.827E-2,
3.18159E-5,-1.9173E-1,
3.1916E-5,4.827E-2,
3.2016E-5,-1.1173E-1,
3.21161E-5,4.827E-2,
3.22161E-5,-1.1173E-1,
3.23162E-5,1.2827E-1,
3.24162E-5,-1.1173E-1,
3.25163E-5,4.827E-2,
3.26163E-5,-1.1173E-1,
3.27164E-5,4.827E-2,
3.28164E-5,-1.9173E-1,
3.29165E-5,1.2827E-1,
3.30165E-5,-1.1173E-1,
3.31166E-5,1.2827E-1,
3.32166E-5,-1.1173E-1,
3.33167E-5,4.827E-2,
3.34167E-5,-1.1173E-1,
3.35168E-5,1.2827E-1,
3.36168E-5,-1.1173E-1,
3.37169E-5,4.827E-2,
3.38169E-5,-1.1173E-1,
3.3917E-5,4.827E-2,
3.4017E-5,-1.1173E-1,
3.41171E-5,4.827E-2,
3.42171E-5,-1.1173E-1,
3.43172E-5,4.827E-2,
3.44172E-5,-1.1173E-1,
3.45173E-5,1.2827E-1,
3.46173E-5,-1.1173E-1,
3.47174E-5,4.827E-2,
3.48174E-5,-1.1173E-1,
3.49175E-5,4.827E-2,
3.50175E-5,-1.9173E-1,
3.51176E-5,4.827E-2,
3.52176E-5,-1.1173E-1,
3.53177E-5,1.2827E-1,
3.54177E-5,-1.1173E-1,
3.55178E-5,1.2827E-1,
3.56178E-5,-1.1173E-1,
3.57179E-5,4.827E-2,
3.58179E-5,-1.1173E-1,
3.5918E-5,4.827E-2,
3.6018E-5,-1.1173E-1,
3.61181E-5,1.2827E-1,
3.62181E-5,-1.1173E-1,
3.63182E-5,1.2827E-1,
3.64182E-5,-1.1173E-1,
